age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
78,retired,divorced,primary,no,229,no,no,telephone,22.0,oct,97,1.0,-1,0,unknown,1
32,blue-collar,married,secondary,no,2089,yes,no,cellular,14.0,nov,132,1.0,-1,0,unknown,1
33,management,married,secondary,no,3935,yes,no,cellular,6.0,may,765,1.0,342,2,failure,1
23,services,single,tertiary,no,363,yes,no,unknown,30.0,may,16,18.0,-1,0,unknown,0
38,management,single,tertiary,no,11971,yes,no,unknown,17.0,nov,609,2.0,101,3,failure,0
36,management,single,tertiary,no,553,no,no,cellular,11.0,aug,106,2.0,-1,0,unknown,0
52,blue-collar,married,secondary,no,1117,yes,no,cellular,13.0,may,365,1.0,-1,0,unknown,0
32,technician,married,tertiary,no,396,yes,no,cellular,13.0,may,205,3.0,-1,0,unknown,0
32,technician,single,tertiary,no,2204,yes,no,cellular,21.0,nov,11,4.0,-1,0,unknown,0
34,management,single,tertiary,no,872,yes,no,unknown,7.0,may,105,2.0,-1,0,unknown,0
55,blue-collar,married,primary,no,145,no,no,telephone,2.0,feb,59,3.0,5,2,other,0
26,blue-collar,married,primary,no,0,yes,no,unknown,21.0,may,425,1.0,-1,0,unknown,0
32,entrepreneur,single,primary,yes,-849,yes,yes,cellular,4.0,feb,204,1.0,-1,0,unknown,0
61,admin.,married,unknown,no,4629,yes,no,cellular,27.0,jan,181,1.0,92,1,success,1
45,blue-collar,divorced,primary,no,844,no,no,unknown,5.0,jun,1018,3.0,-1,0,unknown,1
37,technician,single,secondary,no,228,yes,no,cellular,20.0,aug,1740,2.0,-1,0,unknown,0
38,technician,single,secondary,no,50,no,no,cellular,29.0,aug,98,2.0,-1,0,unknown,0
34,technician,married,tertiary,no,1539,yes,no,cellular,15.0,jun,441,1.0,56,1,other,1
53,blue-collar,married,secondary,no,2231,yes,no,cellular,14.0,jul,272,3.0,-1,0,unknown,0
48,admin.,married,secondary,no,3064,yes,no,telephone,15.0,jul,159,2.0,-1,0,unknown,0
57,management,married,secondary,no,82,no,yes,telephone,4.0,feb,140,1.0,-1,0,unknown,0
33,self-employed,single,tertiary,no,2155,no,no,cellular,17.0,nov,295,1.0,-1,0,unknown,0
36,retired,single,secondary,no,101,yes,yes,unknown,26.0,may,314,1.0,-1,0,unknown,0
54,technician,divorced,secondary,no,784,yes,yes,unknown,15.0,may,579,1.0,-1,0,unknown,0
41,blue-collar,married,primary,no,-516,no,yes,telephone,8.0,jul,554,3.0,-1,0,unknown,0
63,retired,married,secondary,no,415,yes,no,cellular,7.0,oct,323,1.0,-1,0,unknown,0
48,management,married,tertiary,no,5887,no,no,cellular,13.0,aug,227,2.0,-1,0,unknown,0
48,services,married,secondary,no,1355,no,no,cellular,4.0,jul,134,2.0,-1,0,unknown,0
56,admin.,married,secondary,no,16873,no,no,cellular,7.0,oct,223,1.0,-1,0,unknown,0
51,blue-collar,divorced,secondary,no,203,yes,no,cellular,8.0,may,134,1.0,170,5,failure,0
31,services,married,secondary,no,338,yes,no,cellular,28.0,jan,155,1.0,-1,0,unknown,0
29,technician,married,secondary,no,444,yes,no,cellular,21.0,jul,130,4.0,-1,0,unknown,0
41,management,married,secondary,no,0,no,yes,cellular,7.0,jul,630,3.0,-1,0,unknown,0
32,technician,single,tertiary,no,360,no,no,cellular,19.0,nov,164,2.0,-1,0,unknown,0
37,management,married,tertiary,no,0,no,no,cellular,16.0,jul,268,2.0,182,3,success,1
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5.0,may,380,1.0,-1,0,unknown,0
31,management,single,tertiary,no,6248,yes,no,unknown,9.0,may,154,2.0,-1,0,unknown,0
41,services,married,tertiary,no,412,yes,no,unknown,3.0,jun,154,5.0,-1,0,unknown,0
56,retired,married,secondary,no,344,yes,no,unknown,15.0,may,221,1.0,-1,0,unknown,0
54,management,divorced,tertiary,no,3222,no,no,cellular,14.0,aug,67,2.0,-1,0,unknown,0
41,blue-collar,divorced,secondary,no,174,yes,no,cellular,14.0,may,367,2.0,297,1,other,0
40,technician,single,secondary,no,591,no,yes,cellular,14.0,aug,87,6.0,-1,0,unknown,0
50,blue-collar,divorced,primary,no,388,no,no,cellular,5.0,feb,701,1.0,-1,0,unknown,0
40,unemployed,married,secondary,no,219,yes,no,cellular,17.0,nov,204,2.0,196,1,failure,0
27,admin.,divorced,secondary,no,451,yes,no,cellular,16.0,jul,652,1.0,-1,0,unknown,1
60,retired,married,primary,no,5,no,no,cellular,26.0,aug,63,2.0,-1,0,unknown,0
28,admin.,single,secondary,no,177,yes,yes,cellular,6.0,may,150,1.0,-1,0,unknown,0
52,services,married,secondary,no,657,no,no,telephone,7.0,jul,398,2.0,460,2,failure,1
37,management,married,tertiary,no,1315,no,no,cellular,30.0,jun,224,1.0,-1,0,unknown,1
51,blue-collar,married,primary,no,1466,yes,no,unknown,7.0,may,406,2.0,-1,0,unknown,0
41,technician,single,secondary,no,879,no,yes,cellular,7.0,jul,60,4.0,-1,0,unknown,0
35,blue-collar,single,primary,no,293,yes,no,unknown,30.0,may,521,2.0,-1,0,unknown,0
38,admin.,married,secondary,no,424,yes,no,cellular,17.0,apr,279,1.0,-1,0,unknown,0
34,blue-collar,married,secondary,no,1831,yes,no,unknown,20.0,may,203,2.0,-1,0,unknown,0
39,blue-collar,married,primary,no,111,no,no,cellular,18.0,nov,201,2.0,-1,0,unknown,0
34,blue-collar,married,primary,no,455,yes,no,unknown,20.0,jun,372,3.0,-1,0,unknown,0
27,services,single,secondary,no,-195,yes,no,cellular,18.0,may,391,1.0,-1,0,unknown,1
32,management,single,tertiary,no,3616,no,no,cellular,14.0,aug,165,2.0,-1,0,unknown,0
57,blue-collar,married,secondary,no,14093,no,no,cellular,11.0,aug,231,5.0,-1,0,unknown,0
41,unknown,single,tertiary,no,1567,no,no,cellular,1.0,jul,291,2.0,-1,0,unknown,0
41,admin.,married,tertiary,no,5426,yes,no,unknown,14.0,may,149,2.0,-1,0,unknown,0
30,admin.,single,tertiary,no,261,no,no,cellular,19.0,oct,233,1.0,137,20,failure,0
36,blue-collar,divorced,secondary,no,2843,no,no,cellular,12.0,feb,473,1.0,182,1,success,0
31,unemployed,single,primary,no,406,no,no,cellular,4.0,feb,736,1.0,-1,0,unknown,1
36,blue-collar,married,secondary,no,0,yes,no,unknown,6.0,may,337,1.0,-1,0,unknown,0
38,management,single,tertiary,no,493,yes,no,cellular,11.0,may,553,1.0,367,7,failure,0
49,technician,married,secondary,no,5996,no,no,telephone,21.0,nov,345,2.0,-1,0,unknown,0
57,services,single,primary,no,3777,yes,no,telephone,13.0,may,65,2.0,-1,0,unknown,0
34,management,single,secondary,no,524,no,no,unknown,13.0,aug,9,1.0,-1,0,unknown,0
32,management,single,tertiary,no,574,yes,no,cellular,14.0,apr,259,2.0,145,3,failure,0
37,blue-collar,married,secondary,no,427,yes,yes,unknown,9.0,jun,371,3.0,-1,0,unknown,0
33,self-employed,married,tertiary,no,483,yes,no,cellular,3.0,feb,280,2.0,-1,0,unknown,0
56,unemployed,married,primary,no,3391,no,no,cellular,21.0,apr,243,1.0,-1,0,unknown,1
27,housemaid,married,primary,no,0,yes,no,cellular,23.0,jul,435,3.0,-1,0,unknown,0
21,student,single,secondary,no,2488,no,no,cellular,30.0,jun,258,6.0,169,3,success,1
58,management,married,tertiary,no,1517,yes,no,telephone,29.0,jul,7,5.0,-1,0,unknown,0
32,self-employed,married,secondary,no,217,yes,yes,cellular,15.0,jul,317,5.0,-1,0,unknown,0
33,blue-collar,single,secondary,no,22,no,no,cellular,30.0,jan,76,2.0,207,1,failure,0
25,student,single,secondary,no,331,no,no,telephone,26.0,aug,170,4.0,-1,0,unknown,1
25,technician,single,secondary,no,505,no,yes,cellular,17.0,nov,386,2.0,-1,0,unknown,1
30,services,married,secondary,no,1808,yes,no,cellular,18.0,may,83,2.0,-1,0,unknown,0
22,admin.,single,secondary,no,4111,no,yes,cellular,19.0,aug,65,1.0,-1,0,unknown,0
39,blue-collar,married,primary,no,52,no,no,cellular,13.0,aug,69,1.0,-1,0,unknown,0
46,management,divorced,tertiary,no,25,no,no,unknown,17.0,jun,564,2.0,-1,0,unknown,0
31,admin.,divorced,secondary,no,1890,yes,no,cellular,21.0,jul,588,1.0,-1,0,unknown,0
45,blue-collar,married,primary,no,419,no,no,cellular,18.0,aug,113,4.0,-1,0,unknown,0
32,technician,married,secondary,no,2693,yes,no,unknown,21.0,may,16,1.0,-1,0,unknown,0
36,blue-collar,married,secondary,no,-231,no,yes,cellular,15.0,jul,779,2.0,-1,0,unknown,0
51,management,single,tertiary,yes,-55,yes,no,cellular,11.0,may,281,2.0,266,6,failure,0
34,self-employed,single,tertiary,no,462,no,no,cellular,21.0,aug,1877,3.0,-1,0,unknown,1
24,unemployed,single,secondary,no,119,no,no,unknown,15.0,sep,51,1.0,-1,0,unknown,0
45,technician,single,secondary,no,586,no,yes,cellular,28.0,jul,32,3.0,-1,0,unknown,0
32,blue-collar,single,secondary,no,228,no,no,telephone,5.0,feb,176,1.0,288,3,failure,0
77,retired,divorced,tertiary,no,4659,no,no,cellular,14.0,apr,161,1.0,-1,0,unknown,1
41,blue-collar,married,primary,no,168,yes,no,cellular,18.0,nov,187,3.0,-1,0,unknown,0
37,blue-collar,married,primary,no,0,yes,no,unknown,26.0,may,24,1.0,-1,0,unknown,0
43,blue-collar,married,unknown,yes,-715,yes,no,unknown,30.0,may,67,3.0,-1,0,unknown,0
48,admin.,married,unknown,no,0,yes,no,cellular,8.0,may,85,1.0,168,2,failure,0
27,technician,single,secondary,no,769,yes,no,unknown,9.0,may,317,2.0,-1,0,unknown,0
33,management,single,tertiary,no,0,no,no,cellular,28.0,aug,236,10.0,-1,0,unknown,0
29,admin.,single,secondary,no,428,yes,yes,cellular,7.0,may,54,1.0,345,2,failure,0
34,management,single,tertiary,no,0,no,no,cellular,5.0,feb,71,1.0,-1,0,unknown,0
52,management,married,tertiary,no,-970,yes,no,cellular,4.0,feb,489,1.0,-1,0,unknown,1
60,management,married,unknown,no,6313,no,no,unknown,19.0,jun,39,2.0,-1,0,unknown,0
32,management,divorced,tertiary,no,948,no,no,cellular,12.0,aug,204,2.0,-1,0,unknown,0
32,management,single,tertiary,no,0,yes,no,cellular,22.0,jul,455,2.0,-1,0,unknown,0
56,services,divorced,unknown,no,1877,yes,no,unknown,30.0,may,86,1.0,-1,0,unknown,0
31,management,single,tertiary,no,874,yes,no,cellular,18.0,nov,190,2.0,-1,0,unknown,0
42,admin.,married,secondary,no,323,yes,yes,unknown,8.0,may,280,2.0,-1,0,unknown,0
35,management,married,tertiary,no,106,no,yes,cellular,11.0,aug,588,2.0,-1,0,unknown,0
56,retired,married,primary,no,1906,no,yes,unknown,19.0,jun,45,9.0,-1,0,unknown,0
48,technician,married,secondary,no,1152,yes,no,cellular,21.0,jul,168,5.0,-1,0,unknown,0
46,admin.,married,secondary,no,179,yes,no,cellular,29.0,jan,194,4.0,436,1,other,0
37,technician,single,unknown,no,391,yes,no,unknown,8.0,may,103,3.0,-1,0,unknown,0
41,entrepreneur,married,unknown,no,89,yes,no,unknown,6.0,may,333,2.0,-1,0,unknown,0
36,management,single,tertiary,no,442,yes,yes,cellular,29.0,jul,102,3.0,-1,0,unknown,0
45,unemployed,divorced,primary,yes,-249,yes,yes,unknown,1.0,jul,92,1.0,-1,0,unknown,0
55,entrepreneur,married,secondary,no,8104,no,no,cellular,6.0,feb,213,2.0,-1,0,unknown,0
39,technician,married,secondary,no,501,no,no,unknown,26.0,may,289,1.0,-1,0,unknown,0
35,technician,divorced,secondary,no,308,no,no,cellular,22.0,aug,77,2.0,-1,0,unknown,0
55,admin.,married,secondary,no,602,no,no,cellular,1.0,jun,324,3.0,90,2,success,1
55,technician,married,secondary,no,273,yes,no,cellular,29.0,jan,84,3.0,183,3,failure,0
27,self-employed,single,secondary,no,50,no,no,cellular,29.0,jan,168,1.0,-1,0,unknown,0
34,technician,married,secondary,no,1641,yes,no,cellular,17.0,apr,380,1.0,-1,0,unknown,0
34,blue-collar,married,tertiary,no,20,no,no,unknown,4.0,oct,10,1.0,-1,0,unknown,0
25,admin.,single,secondary,no,4590,yes,no,unknown,28.0,may,199,2.0,-1,0,unknown,0
41,admin.,single,secondary,no,-256,no,yes,unknown,9.0,may,35,3.0,-1,0,unknown,0
43,services,married,secondary,no,978,yes,yes,unknown,26.0,may,82,2.0,-1,0,unknown,0
28,management,single,tertiary,no,80,no,no,cellular,20.0,oct,676,2.0,146,2,failure,1
31,admin.,single,secondary,no,2104,yes,no,unknown,3.0,jun,455,1.0,-1,0,unknown,0
78,housemaid,married,secondary,no,499,no,no,telephone,16.0,mar,80,4.0,-1,0,unknown,0
45,blue-collar,divorced,secondary,no,1269,yes,no,cellular,29.0,jan,549,2.0,-1,0,unknown,0
48,technician,married,tertiary,no,310,no,no,unknown,6.0,may,135,1.0,-1,0,unknown,0
32,blue-collar,single,secondary,no,1143,yes,yes,cellular,10.0,jul,412,1.0,-1,0,unknown,0
42,technician,married,secondary,no,2980,no,no,unknown,20.0,jun,101,3.0,-1,0,unknown,0
37,management,single,tertiary,no,37,no,no,cellular,28.0,jan,253,2.0,-1,0,unknown,0
40,admin.,single,secondary,no,462,yes,yes,cellular,6.0,apr,272,1.0,335,4,other,0
32,admin.,married,secondary,no,1031,yes,no,cellular,17.0,jul,84,1.0,-1,0,unknown,0
42,management,married,tertiary,no,9009,no,no,cellular,20.0,nov,135,2.0,-1,0,unknown,0
43,admin.,married,secondary,no,-465,yes,yes,cellular,23.0,jul,166,1.0,-1,0,unknown,0
44,admin.,married,secondary,no,5181,yes,yes,cellular,31.0,jul,18,7.0,-1,0,unknown,0
37,admin.,married,secondary,no,176,yes,no,cellular,5.0,may,147,2.0,347,1,failure,0
37,unknown,married,unknown,no,1699,no,no,unknown,9.0,jun,63,1.0,-1,0,unknown,0
37,admin.,married,tertiary,no,0,yes,no,cellular,17.0,nov,65,2.0,119,1,failure,0
28,technician,single,tertiary,no,172,yes,yes,cellular,2.0,feb,194,2.0,-1,0,unknown,0
32,services,single,secondary,no,0,no,yes,cellular,11.0,jul,333,2.0,-1,0,unknown,0
34,admin.,single,secondary,no,6979,yes,no,cellular,15.0,may,14,5.0,-1,0,unknown,0
40,admin.,divorced,secondary,no,6,no,no,unknown,11.0,jun,140,1.0,-1,0,unknown,0
34,services,married,secondary,no,-62,yes,no,unknown,16.0,jun,109,3.0,-1,0,unknown,0
34,self-employed,married,tertiary,no,1972,yes,no,cellular,23.0,jul,61,2.0,-1,0,unknown,0
34,admin.,married,tertiary,no,899,yes,no,telephone,19.0,nov,377,3.0,7,4,success,0
37,services,single,secondary,no,21,yes,no,cellular,2.0,feb,96,1.0,271,2,other,0
36,technician,married,secondary,no,23,yes,no,cellular,8.0,may,152,2.0,347,1,failure,0
56,retired,married,secondary,no,-1206,yes,no,cellular,15.0,jun,382,2.0,-1,0,unknown,1
49,blue-collar,married,primary,no,0,yes,yes,telephone,23.0,jul,97,6.0,-1,0,unknown,0
33,self-employed,married,secondary,no,215,yes,no,cellular,29.0,jul,543,12.0,-1,0,unknown,0
30,management,single,tertiary,no,1372,no,no,cellular,20.0,nov,240,2.0,-1,0,unknown,0
36,services,married,secondary,no,1981,no,no,unknown,17.0,jun,48,2.0,-1,0,unknown,0
23,student,single,secondary,no,9216,no,no,cellular,5.0,jun,471,2.0,-1,0,unknown,0
57,retired,divorced,secondary,no,39,yes,no,cellular,30.0,jul,354,3.0,-1,0,unknown,0
27,blue-collar,single,secondary,no,5563,yes,no,unknown,30.0,may,435,2.0,-1,0,unknown,0
38,services,married,secondary,no,1,no,yes,cellular,21.0,nov,152,2.0,-1,0,unknown,0
42,technician,married,tertiary,no,782,no,no,cellular,3.0,apr,285,1.0,-1,0,unknown,0
75,retired,married,secondary,no,3771,no,no,telephone,15.0,apr,185,1.0,181,2,success,1
34,technician,single,tertiary,no,992,yes,no,cellular,4.0,may,301,1.0,88,2,success,0
48,technician,married,secondary,no,1526,no,no,cellular,6.0,aug,273,2.0,-1,0,unknown,0
35,technician,single,tertiary,no,2658,yes,no,cellular,19.0,aug,768,2.0,141,3,failure,1
39,management,divorced,tertiary,no,1315,yes,no,cellular,19.0,nov,1337,4.0,126,1,failure,0
29,blue-collar,single,tertiary,no,455,no,no,telephone,21.0,apr,403,1.0,-1,0,unknown,1
45,technician,single,tertiary,no,0,yes,no,cellular,18.0,nov,139,2.0,-1,0,unknown,0
42,technician,married,secondary,no,2030,yes,yes,cellular,9.0,jul,196,1.0,-1,0,unknown,0
29,technician,married,secondary,no,1599,yes,no,cellular,8.0,jul,115,1.0,61,1,failure,0
38,services,single,secondary,no,-196,yes,no,cellular,2.0,feb,60,1.0,271,1,failure,0
56,retired,married,secondary,no,1333,no,no,cellular,28.0,aug,17,14.0,-1,0,unknown,0
36,technician,single,secondary,no,9149,yes,no,cellular,13.0,aug,141,3.0,-1,0,unknown,0
25,blue-collar,single,secondary,no,-350,yes,no,unknown,23.0,jun,95,3.0,-1,0,unknown,0
38,technician,married,tertiary,no,432,yes,no,cellular,15.0,may,10,2.0,373,1,other,0
57,self-employed,married,secondary,no,11494,no,no,cellular,19.0,nov,198,1.0,-1,0,unknown,0
31,management,married,tertiary,yes,-253,no,no,cellular,12.0,aug,220,4.0,-1,0,unknown,0
42,management,married,tertiary,no,372,yes,no,cellular,3.0,aug,654,2.0,-1,0,unknown,1
45,technician,married,secondary,no,1410,no,no,cellular,11.0,aug,71,2.0,-1,0,unknown,0
30,blue-collar,married,secondary,no,975,yes,no,cellular,13.0,may,256,2.0,351,2,failure,0
49,blue-collar,married,primary,no,305,yes,yes,telephone,10.0,jul,834,10.0,-1,0,unknown,0
49,services,married,secondary,no,400,no,no,cellular,21.0,aug,151,3.0,-1,0,unknown,0
53,retired,married,tertiary,no,-22,yes,no,cellular,31.0,jul,20,3.0,-1,0,unknown,0
37,technician,married,secondary,no,4030,yes,no,unknown,26.0,may,178,5.0,-1,0,unknown,0
49,blue-collar,married,primary,no,365,no,no,unknown,26.0,may,59,2.0,-1,0,unknown,0
41,self-employed,married,primary,no,204,no,no,cellular,13.0,aug,111,7.0,-1,0,unknown,0
54,management,married,primary,no,1691,yes,no,cellular,20.0,nov,186,1.0,-1,0,unknown,0
32,services,single,secondary,no,406,yes,no,unknown,6.0,may,227,1.0,-1,0,unknown,0
33,technician,married,secondary,no,-204,no,no,cellular,15.0,may,297,3.0,-1,0,unknown,0
33,technician,married,secondary,no,359,yes,no,cellular,20.0,apr,210,1.0,242,1,other,0
36,blue-collar,married,primary,no,123,yes,no,cellular,18.0,may,9,1.0,-1,0,unknown,0
35,technician,married,tertiary,no,0,yes,yes,cellular,23.0,sep,112,1.0,62,6,other,0
52,unknown,married,secondary,no,142,no,no,cellular,25.0,aug,112,6.0,-1,0,unknown,0
40,entrepreneur,married,tertiary,no,3571,no,no,unknown,9.0,jun,222,3.0,-1,0,unknown,0
44,technician,single,secondary,no,33,yes,no,cellular,13.0,may,195,3.0,351,10,failure,0
45,blue-collar,single,secondary,no,0,yes,no,cellular,26.0,jul,768,2.0,91,5,success,0
30,student,single,secondary,no,3096,no,no,cellular,26.0,jan,123,1.0,-1,0,unknown,0
48,technician,divorced,secondary,yes,20,no,no,cellular,27.0,aug,145,3.0,-1,0,unknown,0
33,blue-collar,married,secondary,no,3576,yes,no,cellular,2.0,apr,124,1.0,308,2,other,0
57,technician,married,unknown,no,206,yes,no,unknown,5.0,may,216,3.0,-1,0,unknown,0
57,housemaid,married,primary,no,7082,no,no,unknown,6.0,jun,69,3.0,-1,0,unknown,0
51,unemployed,married,tertiary,no,1634,yes,no,cellular,22.0,jul,168,4.0,-1,0,unknown,0
34,admin.,single,secondary,no,1,yes,no,cellular,22.0,jul,483,7.0,-1,0,unknown,0
50,self-employed,married,tertiary,no,4012,no,no,cellular,19.0,nov,690,3.0,-1,0,unknown,0
44,management,married,tertiary,no,3762,no,no,cellular,28.0,aug,125,12.0,-1,0,unknown,0
27,admin.,married,secondary,no,-247,yes,yes,unknown,4.0,jun,344,2.0,-1,0,unknown,0
50,blue-collar,married,secondary,no,606,yes,no,unknown,14.0,may,673,2.0,-1,0,unknown,0
36,management,married,tertiary,no,0,yes,no,cellular,28.0,jan,60,1.0,250,1,other,0
42,management,married,secondary,no,-189,yes,no,unknown,12.0,may,247,2.0,-1,0,unknown,0
32,unemployed,single,secondary,no,0,no,no,cellular,27.0,may,123,2.0,-1,0,unknown,0
42,management,married,tertiary,no,484,yes,no,cellular,11.0,jul,144,2.0,-1,0,unknown,0
43,technician,married,secondary,no,0,no,yes,cellular,8.0,may,9,2.0,172,5,failure,0
31,management,married,tertiary,no,395,yes,no,cellular,9.0,feb,155,3.0,-1,0,unknown,0
32,management,married,tertiary,no,2349,no,no,cellular,14.0,aug,134,5.0,-1,0,unknown,0
55,blue-collar,divorced,primary,no,410,no,yes,cellular,11.0,jul,221,2.0,-1,0,unknown,0
58,retired,married,primary,no,3401,yes,no,cellular,3.0,feb,84,3.0,265,2,failure,0
46,blue-collar,married,primary,no,222,no,no,cellular,8.0,aug,71,2.0,-1,0,unknown,0
55,blue-collar,married,secondary,no,989,yes,yes,unknown,23.0,may,246,4.0,-1,0,unknown,0
34,management,married,tertiary,no,415,no,yes,cellular,23.0,jul,361,2.0,-1,0,unknown,0
28,unemployed,single,secondary,no,16,no,no,cellular,12.0,aug,119,4.0,-1,0,unknown,0
42,technician,divorced,tertiary,no,7190,yes,no,cellular,29.0,jul,375,2.0,-1,0,unknown,0
29,blue-collar,single,secondary,no,482,no,yes,cellular,10.0,jul,1097,3.0,-1,0,unknown,1
54,housemaid,married,secondary,no,209,yes,yes,cellular,25.0,jul,97,1.0,-1,0,unknown,0
32,technician,single,secondary,no,0,no,no,cellular,26.0,aug,181,2.0,-1,0,unknown,0
39,technician,single,tertiary,no,5803,no,no,cellular,2.0,feb,83,3.0,-1,0,unknown,0
53,entrepreneur,married,tertiary,no,624,no,yes,cellular,21.0,jul,180,4.0,-1,0,unknown,0
58,technician,married,tertiary,no,883,no,no,cellular,18.0,aug,543,1.0,78,2,failure,0
40,self-employed,married,secondary,no,1516,yes,yes,unknown,23.0,may,373,1.0,-1,0,unknown,0
29,student,single,secondary,no,872,yes,no,unknown,7.0,may,230,1.0,-1,0,unknown,0
33,technician,married,tertiary,no,-988,yes,yes,cellular,15.0,jul,83,3.0,-1,0,unknown,0
38,admin.,single,secondary,no,902,yes,no,telephone,31.0,jul,58,13.0,-1,0,unknown,0
56,services,divorced,secondary,no,1007,no,no,cellular,29.0,jul,88,6.0,-1,0,unknown,0
40,services,married,secondary,no,0,yes,no,cellular,2.0,jun,297,1.0,28,3,failure,0
24,blue-collar,single,secondary,no,174,yes,yes,cellular,18.0,may,487,1.0,-1,0,unknown,1
46,management,married,secondary,no,12186,no,no,unknown,20.0,jun,29,3.0,-1,0,unknown,0
35,self-employed,married,secondary,no,524,yes,no,cellular,21.0,nov,484,4.0,-1,0,unknown,0
35,blue-collar,single,tertiary,no,0,yes,no,cellular,21.0,jul,262,4.0,-1,0,unknown,0
34,technician,married,secondary,no,4,yes,no,unknown,15.0,may,644,1.0,-1,0,unknown,0
35,housemaid,married,tertiary,no,11219,no,no,cellular,12.0,aug,699,2.0,79,1,failure,0
38,technician,single,tertiary,no,0,no,no,cellular,28.0,aug,247,2.0,-1,0,unknown,0
50,blue-collar,married,primary,no,5776,no,no,cellular,18.0,nov,49,3.0,-1,0,unknown,0
51,blue-collar,divorced,primary,no,37,yes,no,cellular,13.0,may,341,1.0,-1,0,unknown,0
59,self-employed,married,tertiary,no,593,no,no,unknown,13.0,may,64,2.0,-1,0,unknown,0
32,blue-collar,married,secondary,no,1148,yes,no,cellular,20.0,apr,121,1.0,-1,0,unknown,0
37,blue-collar,single,secondary,no,3561,yes,no,unknown,2.0,jun,98,1.0,-1,0,unknown,0
42,admin.,divorced,secondary,no,63,no,no,unknown,16.0,may,88,6.0,-1,0,unknown,0
40,student,married,secondary,no,260,no,no,unknown,20.0,jun,197,6.0,-1,0,unknown,0
28,technician,single,tertiary,no,2269,yes,no,unknown,9.0,may,331,1.0,-1,0,unknown,0
